STATEFP,COUNTYFP,STATE,COUNTY,Any_poultry,ER2023,A1B45,A1B85,A245,A285,B145,B185,B245,B285
1,1,Alabama,Autauga,44,2.130698394,7.602762235,7.617432287,7.602875165,7.49484119,7.586919066,7.665025143,7.705232769,7.710982672
1,3,Alabama,Baldwin,150,3.533291601,7.010695771,7.269874861,7.720643328,7.727038202,7.019543855,7.463836326,7.079259485,7.421592468
1,5,Alabama,Barbour,89,14.09867778,8.214943519,8.193514593,8.045265799,7.934779664,8.378681216,8.267689066,8.348449982,8.209778369
1,7,Alabama,Bibb,43,1.795762143,8.255384895,8.147205509,8.289370038,8.210527077,8.101129922,7.995578674,8.02076945,7.990002821
1,9,Alabama,Blount,223,6.440027678,8.749758606,8.33170174,10.14607398,9.012609719,8.732558831,8.351595489,8.706005348,8.298808194
1,11,Alabama,Bullock,14,2.237403548,8.087676862,8.325002264,9.697870531,9.691489254,7.849073502,8.077184582,7.632834294,7.918221112
1,13,Alabama,Butler,92,2.294051515,8.070852917,8.172157995,9.418217193,9.519507562,7.997784373,8.012135709,7.76037127,7.801754049
1,15,Alabama,Calhoun,123,13.10322509,8.397543545,8.138635765,8.765309708,8.391422843,8.329857029,8.138178802,7.998678742,8.066267053
1,17,Alabama,Chambers,68,5.919350504,7.844710674,7.634837722,7.979638504,7.695696755,8.137936375,7.794764982,8.029982505,7.703857043
1,19,Alabama,Cherokee,127,5.474327966,10.3364904,9.591039411,11.98933013,10.78376313,10.50753621,9.719977852,10.52024777,9.710690578
1,21,Alabama,Chilton,97,31.68116714,7.714793418,7.54361544,7.505202951,7.351702034,7.818363769,7.587139224,7.746614158,7.517076145
1,23,Alabama,Choctaw,19,0.88409648,7.701141871,8.031997533,7.838491537,8.183149226,7.535742652,7.840241711,7.398234354,7.759433767
1,25,Alabama,Clarke,51,0,7.12071509,7.236999825,7.410892308,7.537712348,7.049958465,7.16756265,7.035618805,7.1531965
1,27,Alabama,Clay,108,3.22409592,8.86567432,8.277254294,9.11633987,8.426145541,8.725324703,8.105026783,7.910294313,7.518624309
1,29,Alabama,Cleburne,65,3.038466714,8.665258396,8.344830481,9.247507882,8.222273921,8.249639344,8.054937815,7.85050525,7.680121158
1,31,Alabama,Coffee,116,3.990188064,7.546687891,7.8029046,7.679372388,7.914020737,7.501219328,7.796373701,7.719726527,7.812715373
1,33,Alabama,Colbert,60,18.75260841,10.29148893,9.07678829,10.74962744,9.188424894,10.50702636,9.293375803,10.46408666,9.326373956
1,35,Alabama,Conecuh,34,2.013758968,8.164979296,8.143163506,9.520272157,9.49133524,7.960325743,7.886910837,7.81274609,7.819069717
1,37,Alabama,Coosa,16,3.359438878,8.308759017,7.893804301,8.08470383,7.672548295,7.97373962,7.71113677,7.758427298,7.634730794
1,39,Alabama,Covington,125,2.51872093,7.618233584,7.648970503,8.434042565,8.411316803,7.690589174,7.654265646,7.582767708,7.555516707
1,41,Alabama,Crenshaw,80,2.554116287,8.041348424,8.141234092,8.632567679,8.678760101,7.831058568,7.93326006,7.568574474,7.727756519
1,43,Alabama,Cullman,343,9.650449716,9.872854803,8.546099687,11.52782011,9.689391326,9.006532529,8.383009485,9.154136321,8.463571389
1,45,Alabama,Dale,103,0.758324236,7.571305324,7.594392639,7.911008593,8.009072021,7.163107116,7.36067932,7.100341106,7.424355759
1,47,Alabama,Dallas,19,6.210138996,7.391228319,7.695955793,7.65528156,7.891022671,7.376051929,7.659708781,7.753531006,7.877770432
1,49,Alabama,DeKalb,392,1.347425008,8.948980622,8.356736924,10.24936861,9.080323899,9.154104852,8.734192125,8.992852613,8.621745323
1,51,Alabama,Elmore,64,2.701271427,8.297694225,7.981735964,8.595043484,8.091704024,8.503023,8.207370825,8.526454076,8.164153385
1,53,Alabama,Escambia,43,4.105069502,7.486913724,7.396657744,8.513537268,8.492340027,7.490811358,7.33173005,7.221432668,7.17331338
1,55,Alabama,Etowah,160,14.37040067,11.41572181,9.703986326,11.57577519,9.970578352,9.790457572,8.814462363,9.621667424,8.846079819
1,57,Alabama,Fayette,30,0.98849433,8.163938433,7.973174147,8.45797244,8.111369056,8.329079625,7.964931852,8.202713394,7.807221042
1,59,Alabama,Franklin,139,10.87111232,9.32125938,8.459803895,9.604258341,8.454317988,9.405976728,8.589993882,9.314604691,8.537686133
1,61,Alabama,Geneva,105,1.804576112,8.813194674,8.881906659,9.402610038,9.467013003,7.316840775,7.419311012,7.200073281,7.335701739
