STATEFP,COUNTYFP,STATE,COUNTY,Longitude,Latitude,Poultry,2099A1B45,2099A245,2099B145,2099B245,2099A1B85,2099A285,2099B185,2099B285
1,1,Alabama,Autauga,-86.64273016,32.53492151,44,5.472063841,5.472176771,5.456220673,5.574534374,5.486733893,5.364142797,5.53432675,5.580284278
1,3,Alabama,Baldwin,-87.72257343,30.72768574,150,3.477404169,4.187351727,3.486252252,3.545967884,3.736583258,4.193746601,3.930544725,3.888300865
1,5,Alabama,Barbour,-85.39320566,31.869585,89,-5.883734258,-6.053411977,-5.71999656,-5.750227795,-5.905163183,-6.163898112,-5.830988711,-5.888899408
1,7,Alabama,Bibb,-87.12648128,32.99862503,43,6.459622752,6.493607895,6.305367778,6.225007307,6.351443364,6.414764932,6.199816531,6.194240679
1,9,Alabama,Blount,-86.5673687,33.98087655,223,2.309730928,3.706046301,2.292531155,2.26597767,1.891674062,2.572582044,1.911567811,1.858780515
1,11,Alabama,Bullock,-85.71567951,32.10052696,14,5.850273314,7.460466984,5.611669955,5.395430746,6.087598715,7.454085707,5.839781034,5.680817564
1,13,Alabama,Butler,-86.68027271,31.75243184,92,5.776801403,7.124165678,5.703732858,5.466319756,5.878106479,7.225456047,5.718084194,5.507702535
1,15,Alabama,Calhoun,-85.8260409,33.77141531,123,-4.70568154,-4.337915378,-4.773368056,-5.104546345,-4.964589321,-4.711802243,-4.965046284,-5.036958034
1,17,Alabama,Chambers,-85.39203725,32.91434339,68,1.92536017,2.060288001,2.21858587,2.110632002,1.715487219,1.776346252,1.875414479,1.78450654
1,19,Alabama,Cherokee,-85.60380731,34.17589498,127,4.862162434,6.515002161,5.033208241,5.04591981,4.116711447,5.309435161,4.245649886,4.236362613
1,21,Alabama,Chilton,-86.7187942,32.84785832,97,-23.96637373,-24.17596419,-23.86280337,-23.93455298,-24.1375517,-24.32946511,-24.09402791,-24.164091
1,23,Alabama,Choctaw,-88.26317957,32.01977193,19,6.817045393,6.954395057,6.651646172,6.514137876,7.147901054,7.299052747,6.956145231,6.875337288
1,25,Alabama,Clarke,-87.8308079,31.67667737,51,7.12071509,7.410892307,7.049958465,7.035618804,7.236999825,7.537712348,7.167562651,7.153196501
1,27,Alabama,Clay,-85.86054492,33.26902733,108,5.641578398,5.89224395,5.501228783,4.686198393,5.053158373,5.20204962,4.880930861,4.294528389
1,29,Alabama,Cleburne,-85.5188118,33.67451323,65,5.626791682,6.209041169,5.211172629,4.812038536,5.306363768,5.183807206,5.016471101,4.641654444
1,31,Alabama,Coffee,-85.98816871,31.40265943,116,3.556499827,3.689184325,3.511031264,3.729538463,3.812716534,3.923832672,3.806185637,3.822527308
1,33,Alabama,Colbert,-87.80492738,34.70046645,60,-8.461119482,-8.00298097,-8.245582047,-8.28852175,-9.675820117,-9.564183515,-9.459232605,-9.426234455
1,35,Alabama,Conecuh,-86.99367552,31.42925989,34,6.15122033,7.50651319,5.946566775,5.798987124,6.129404536,7.477576272,5.873151868,5.805310749
1,37,Alabama,Coosa,-86.24765314,32.93624317,16,4.949320138,4.725264952,4.614300741,4.398988419,4.534365423,4.313109416,4.351697892,4.275291915
1,39,Alabama,Covington,-86.45126547,31.24849093,125,5.099512654,5.915321636,5.171868244,5.064046779,5.130249574,5.892595872,5.135544716,5.036795777
1,41,Alabama,Crenshaw,-86.31355203,31.73151285,80,5.487232138,6.078451394,5.276942281,5.014458186,5.587117805,6.124643815,5.379143772,5.173640233
1,43,Alabama,Cullman,-86.8675892,34.13194568,343,0.222405086,1.877370391,-0.643917186,-0.496313394,-1.104350029,0.038941611,-1.267440231,-1.186878325
1,45,Alabama,Dale,-85.61103942,31.43177637,103,6.812981089,7.152684358,6.404782879,6.342016869,6.836068403,7.250747785,6.602355083,6.666031523
1,47,Alabama,Dallas,-87.10645795,32.32596885,19,1.181089323,1.445142564,1.165912933,1.54339201,1.485816796,1.680883673,1.449569786,1.667631435
1,49,Alabama,DeKalb,-85.80411479,34.45979893,392,7.601555614,8.901943596,7.806679843,7.645427605,7.009311916,7.73289889,7.386767117,7.274320314
1,51,Alabama,Elmore,-86.14915613,32.59664928,64,5.596422798,5.893772056,5.801751574,5.825182649,5.280464536,5.390432596,5.506099397,5.462881958
1,53,Alabama,Escambia,-87.16154884,31.12615088,43,3.381844221,4.408467766,3.385741855,3.116363166,3.291588243,4.387270525,3.226660547,3.068243878
1,55,Alabama,Etowah,-86.03476361,34.04525536,160,-2.954678865,-2.79462548,-4.579943101,-4.748733249,-4.666414346,-4.399822321,-5.555938311,-5.524320854
1,57,Alabama,Fayette,-87.7388259,33.72122384,30,7.175444104,7.46947811,7.340585295,7.214219063,6.984679817,7.122874726,6.976437521,6.818726712
1,59,Alabama,Franklin,-87.84373732,34.44169082,139,-1.549852934,-1.266853975,-1.465135586,-1.556507624,-2.411308421,-2.416794326,-2.281118433,-2.333426183
1,61,Alabama,Geneva,-85.83908288,31.09505088,105,7.008618563,7.598033926,5.512264662,5.395497168,7.077330547,7.662436891,5.614734901,5.531125626
1,63,Alabama,Greene,-87.95221651,32.8531426,17,-4.420945435,-3.758229881,-5.383069426,-5.352226315,-4.474244094,-3.932808545,-5.495739072,-5.503263197
1,65,Alabama,Hale,-87.62913844,32.76267579,38,-3.808873342,-2.714966168,-4.337318036,-4.429437707,-3.87361595,-2.75175743,-4.361356077,-4.495176017
1,67,Alabama,Henry,-85.24142276,31.51470774,46,4.721038825,5.043750214,4.190261862,4.125418326,4.600145713,4.976708835,4.128661132,4.017042989
1,69,Alabama,Houston,-85.30247045,31.15319979,75,6.137629388,6.524021396,5.09943838,4.822451867,6.396366768,6.706963639,5.40820646,5.337506982
1,71,Alabama,Jackson,-85.9993501,34.77945522,172,-5.332476496,-4.190195981,-4.893704037,-4.920610842,-6.569765516,-5.754368374,-6.136508776,-6.21073247
1,73,Alabama,Jefferson,-86.89640033,33.55432512,88,3.331855871,3.48040467,3.098575767,2.611304455,2.674614763,2.826447413,2.58024133,2.117488176
